[B3S3] : dis=26  2021-01-12 09:20:26.478   time_abs = 23ms  time_gap =3.017s
[B3S3] : dis=26  2021-01-12 09:20:29.503   time_abs = 24ms  time_gap =3.025s
[B3S3] : dis=26  2021-01-12 09:20:32.544   time_abs = 23ms  time_gap =3.041s
[B3S3] : dis=26  2021-01-12 09:20:35.593   time_abs = 24ms  time_gap =3.049s
[B3S3] : dis=26  2021-01-12 09:20:38.644   time_abs = 23ms  time_gap =3.051s
[B3S3] : dis=26  2021-01-12 09:20:41.694   time_abs = 24ms  time_gap =3.050s
[B3S3] : dis=26  2021-01-12 09:20:44.741   time_abs = 25ms  time_gap =3.047s
[B3S3] : dis=25  2021-01-12 09:20:47.786   time_abs = 24ms  time_gap =3.045s
[B3S3] : dis=25  2021-01-12 09:20:50.789   time_abs = 23ms  time_gap =3.003s
[B3S3] : dis=26  2021-01-12 09:20:53.803   time_abs = 25ms  time_gap =3.014s
[B3S3] : dis=26  2021-01-12 09:20:56.865   time_abs = 30ms  time_gap =3.062s
[B3S3] : dis=26  2021-01-12 09:20:59.897   time_abs = 29ms  time_gap =3.032s
[B3S3] : dis=26  2021-01-12 09:21:02.932   time_abs = 23ms  time_gap =3.035s
[B3S3] : dis=26  2021-01-12 09:21:05.979   time_abs = 25ms  time_gap =3.047s
[B3S3] : dis=26  2021-01-12 09:21:08.992   time_abs = 26ms  time_gap =3.013s
[B3S3] : dis=26  2021-01-12 09:21:11.997   time_abs = 24ms  time_gap =3.005s
[B3S3] : dis=26  2021-01-12 09:21:15.031   time_abs = 23ms  time_gap =3.034s
[B3S3] : dis=26  2021-01-12 09:21:18.079   time_abs = 49ms  time_gap =3.048s
[B3S3] : dis=26  2021-01-12 09:21:21.123   time_abs = 23ms  time_gap =3.044s
[B3S3] : dis=25  2021-01-12 09:21:24.146   time_abs = 23ms  time_gap =3.023s
[B3S3] : dis=26  2021-01-12 09:21:27.162   time_abs = 33ms  time_gap =3.016s
[B3S3] : dis=25  2021-01-12 09:21:30.186   time_abs = 25ms  time_gap =3.024s
[B3S3] : dis=25  2021-01-12 09:21:33.199   time_abs = 47ms  time_gap =3.013s
[B3S3] : dis=26  2021-01-12 09:21:36.238   time_abs = 25ms  time_gap =3.039s
[B3S3] : dis=25  2021-01-12 09:21:39.291   time_abs = 23ms  time_gap =3.053s
[B3S3] : dis=26  2021-01-12 09:21:42.299   time_abs = 25ms  time_gap =3.008s
[B3S3] : dis=26  2021-01-12 09:21:45.329   time_abs = 31ms  time_gap =3.030s
[B3S3] : dis=26  2021-01-12 09:21:48.386   time_abs = 25ms  time_gap =3.057s
[B3S3] : dis=26  2021-01-12 09:21:51.430   time_abs = 23ms  time_gap =3.044s
[B3S3] : dis=26  2021-01-12 09:21:54.486   time_abs = 24ms  time_gap =3.056s
[B3S3] : dis=26  2021-01-12 09:21:57.537   time_abs = 24ms  time_gap =3.051s
[B3S3] : dis=26  2021-01-12 09:22:00.596   time_abs = 23ms  time_gap =3.059s
[B3S3] : dis=26  2021-01-12 09:22:03.668   time_abs = 29ms  time_gap =3.072s
[B3S3] : dis=25  2021-01-12 09:22:06.733   time_abs = 24ms  time_gap =3.065s
[B3S3] : dis=26  2021-01-12 09:22:09.743   time_abs = 24ms  time_gap =3.010s
[B3S3] : dis=26  2021-01-12 09:22:12.779   time_abs = 25ms  time_gap =3.036s
[B3S3] : dis=25  2021-01-12 09:22:15.811   time_abs = 24ms  time_gap =3.032s
[B3S3] : dis=26  2021-01-12 09:22:18.861   time_abs = 23ms  time_gap =3.050s
[B3S3] : dis=26  2021-01-12 09:22:21.901   time_abs = 24ms  time_gap =3.040s
[B3S3] : dis=26  2021-01-12 09:22:24.965   time_abs = 24ms  time_gap =3.064s
[B3S3] : dis=26  2021-01-12 09:22:27.998   time_abs = 30ms  time_gap =3.033s
[B3S3] : dis=26  2021-01-12 09:22:31.033   time_abs = 24ms  time_gap =3.035s
[B3S3] : dis=26  2021-01-12 09:22:34.047   time_abs = 24ms  time_gap =3.014s
[B3S3] : dis=26  2021-01-12 09:22:37.086   time_abs = 25ms  time_gap =3.039s
[B3S3] : dis=25  2021-01-12 09:22:40.112   time_abs = 26ms  time_gap =3.026s
[B3S3] : dis=25  2021-01-12 09:22:43.165   time_abs = 24ms  time_gap =3.053s
[B3S3] : dis=25  2021-01-12 09:22:46.206   time_abs = 24ms  time_gap =3.041s
[B3S3] : dis=26  2021-01-12 09:22:49.254   time_abs = 24ms  time_gap =3.048s
[B3S3] : dis=25  2021-01-12 09:22:52.285   time_abs = 26ms  time_gap =3.031s
[B3S3] : dis=25  2021-01-12 09:22:55.296   time_abs = 24ms  time_gap =3.011s
[B3S3] : dis=26  2021-01-12 09:22:58.347   time_abs = 24ms  time_gap =3.051s
[B3S3] : dis=25  2021-01-12 09:23:01.381   time_abs = 27ms  time_gap =3.034s
[B3S3] : dis=26  2021-01-12 09:23:04.401   time_abs = 24ms  time_gap =3.020s
[B3S3] : dis=25  2021-01-12 09:23:07.423   time_abs = 26ms  time_gap =3.022s
[B3S3] : dis=26  2021-01-12 09:23:10.456   time_abs = 25ms  time_gap =3.033s
[B3S3] : dis=26  2021-01-12 09:23:13.457   time_abs = 24ms  time_gap =3.001s
[B3S3] : dis=26  2021-01-12 09:23:16.460   time_abs = 26ms  time_gap =3.003s
[B3S3] : dis=25  2021-01-12 09:23:19.468   time_abs = 26ms  time_gap =3.008s
[B3S3] : dis=26  2021-01-12 09:23:22.512   time_abs = 25ms  time_gap =3.044s
[B3S3] : dis=26  2021-01-12 09:23:25.546   time_abs = 24ms  time_gap =3.034s
[B3S3] : dis=26  2021-01-12 09:23:28.583   time_abs = 25ms  time_gap =3.037s
[B3S3] : dis=26  2021-01-12 09:23:31.601   time_abs = 28ms  time_gap =3.018s
[B3S3] : dis=26  2021-01-12 09:23:34.644   time_abs = 25ms  time_gap =3.043s
[B3S3] : dis=25  2021-01-12 09:23:37.703   time_abs = 23ms  time_gap =3.059s
[B3S3] : dis=25  2021-01-12 09:23:40.754   time_abs = 24ms  time_gap =3.051s
[B3S3] : dis=26  2021-01-12 09:23:43.788   time_abs = 36ms  time_gap =3.034s
[B3S3] : dis=26  2021-01-12 09:23:46.793   time_abs = 25ms  time_gap =3.005s
[B3S3] : dis=26  2021-01-12 09:23:49.811   time_abs = 25ms  time_gap =3.018s
[B3S3] : dis=25  2021-01-12 09:23:52.849   time_abs = 28ms  time_gap =3.038s
[B3S3] : dis=25  2021-01-12 09:23:55.883   time_abs = 24ms  time_gap =3.034s
[B3S3] : dis=26  2021-01-12 09:23:58.938   time_abs = 24ms  time_gap =3.055s
[B3S3] : dis=25  2021-01-12 09:24:01.982   time_abs = 24ms  time_gap =3.044s
[B3S3] : dis=25  2021-01-12 09:24:05.045   time_abs = 24ms  time_gap =3.063s
[B3S3] : dis=26  2021-01-12 09:24:08.051   time_abs = 24ms  time_gap =3.006s
[B3S3] : dis=26  2021-01-12 09:24:11.091   time_abs = 25ms  time_gap =3.040s
[B3S3] : dis=26  2021-01-12 09:24:14.133   time_abs = 24ms  time_gap =3.042s
[B3S3] : dis=26  2021-01-12 09:24:17.141   time_abs = 25ms  time_gap =3.008s
[B3S3] : dis=26  2021-01-12 09:24:20.191   time_abs = 25ms  time_gap =3.050s
[B3S3] : dis=25  2021-01-12 09:24:23.214   time_abs = 26ms  time_gap =3.023s
[B3S3] : dis=26  2021-01-12 09:24:26.272   time_abs = 26ms  time_gap =3.058s
[B3S3] : dis=26  2021-01-12 09:24:29.296   time_abs = 24ms  time_gap =3.024s
[B3S3] : dis=26  2021-01-12 09:24:32.318   time_abs = 25ms  time_gap =3.022s
[B3S3] : dis=26  2021-01-12 09:24:35.324   time_abs = 24ms  time_gap =3.006s
[B3S3] : dis=26  2021-01-12 09:24:38.379   time_abs = 37ms  time_gap =3.055s
[B3S3] : dis=26  2021-01-12 09:24:41.388   time_abs = 25ms  time_gap =3.009s
[B3S3] : dis=26  2021-01-12 09:24:44.421   time_abs = 25ms  time_gap =3.033s
[B3S3] : dis=26  2021-01-12 09:24:47.479   time_abs = 25ms  time_gap =3.058s
[B3S3] : dis=26  2021-01-12 09:24:50.483   time_abs = 24ms  time_gap =3.004s
[B3S3] : dis=26  2021-01-12 09:24:53.548   time_abs = 25ms  time_gap =3.065s
[B3S3] : dis=26  2021-01-12 09:24:56.586   time_abs = 25ms  time_gap =3.038s
[B3S3] : dis=26  2021-01-12 09:24:59.638   time_abs = 26ms  time_gap =3.052s
[B3S3] : dis=26  2021-01-12 09:25:02.658   time_abs = 25ms  time_gap =3.020s
[B3S3] : dis=25  2021-01-12 09:25:05.714   time_abs = 25ms  time_gap =3.056s
[B3S3] : dis=26  2021-01-12 09:25:08.733   time_abs = 25ms  time_gap =3.019s
[B3S3] : dis=26  2021-01-12 09:25:11.777   time_abs = 27ms  time_gap =3.044s
[B3S3] : dis=26  2021-01-12 09:25:14.822   time_abs = 25ms  time_gap =3.045s
[B3S3] : dis=26  2021-01-12 09:25:17.869   time_abs = 28ms  time_gap =3.047s
[B3S3] : dis=26  2021-01-12 09:25:20.875   time_abs = 25ms  time_gap =3.006s
[B3S3] : dis=26  2021-01-12 09:25:23.936   time_abs = 27ms  time_gap =3.061s
[B3S3] : dis=26  2021-01-12 09:25:26.976   time_abs = 32ms  time_gap =3.040s
[B3S3] : dis=26  2021-01-12 09:25:29.986   time_abs = 24ms  time_gap =3.010s
[B3S3] : dis=25  2021-01-12 09:25:33.008   time_abs = 26ms  time_gap =3.022s
[B3S3] : dis=25  2021-01-12 09:25:36.055   time_abs = 25ms  time_gap =3.047s
[B3S3] : dis=26  2021-01-12 09:25:39.081   time_abs = 26ms  time_gap =3.026s
[B3S3] : dis=26  2021-01-12 09:25:42.113   time_abs = 24ms  time_gap =3.032s
[B3S3] : dis=26  2021-01-12 09:25:45.117   time_abs = 25ms  time_gap =3.004s
[B3S3] : dis=26  2021-01-12 09:25:48.169   time_abs = 27ms  time_gap =3.052s
[B3S3] : dis=26  2021-01-12 09:25:51.188   time_abs = 25ms  time_gap =3.019s
[B3S3] : dis=26  2021-01-12 09:25:54.209   time_abs = 25ms  time_gap =3.021s
[B3S3] : dis=26  2021-01-12 09:25:57.233   time_abs = 26ms  time_gap =3.024s
[B3S3] : dis=26  2021-01-12 09:26:00.338   time_abs = 26ms  time_gap =3.105s
[B3S3] : dis=26  2021-01-12 09:26:03.352   time_abs = 25ms  time_gap =3.014s
[B3S3] : dis=25  2021-01-12 09:26:06.383   time_abs = 25ms  time_gap =3.031s
[B3S3] : dis=26  2021-01-12 09:26:09.422   time_abs = 25ms  time_gap =3.039s
[B3S3] : dis=25  2021-01-12 09:26:12.438   time_abs = 26ms  time_gap =3.016s
[B3S3] : dis=26  2021-01-12 09:26:15.468   time_abs = 26ms  time_gap =3.030s
[B3S3] : dis=25  2021-01-12 09:26:18.513   time_abs = 26ms  time_gap =3.045s
[B3S3] : dis=26  2021-01-12 09:26:21.552   time_abs = 31ms  time_gap =3.039s
[B3S3] : dis=26  2021-01-12 09:26:24.607   time_abs = 26ms  time_gap =3.055s
[B3S3] : dis=26  2021-01-12 09:26:27.622   time_abs = 26ms  time_gap =3.015s
[B3S3] : dis=26  2021-01-12 09:26:30.673   time_abs = 25ms  time_gap =3.051s
[B3S3] : dis=26  2021-01-12 09:26:33.721   time_abs = 27ms  time_gap =3.048s
[B3S3] : dis=26  2021-01-12 09:26:36.793   time_abs = 32ms  time_gap =3.072s
[B3S3] : dis=26  2021-01-12 09:26:39.830   time_abs = 26ms  time_gap =3.037s
[B3S3] : dis=26  2021-01-12 09:26:42.854   time_abs = 25ms  time_gap =3.024s
