[B9S2] : dis=32  1609939405521ms
[B9S2] : dis=31  1609939406951ms
[B9S2] : dis=32  1609939407012ms
[B9S2] : dis=31  1609939408263ms
[B9S2] : dis=32  1609939408380ms
[B9S2] : dis=31  1609939409694ms
[B9S2] : dis=32  1609939409751ms
[B9S2] : dis=31  1609939410604ms
[B9S2] : dis=32  1609939410664ms
[B9S2] : dis=31  1609939412727ms
[B9S2] : dis=32  1609939412785ms
[B9S2] : dis=31  1609939413288ms
[B9S2] : dis=32  1609939413344ms
[B9S2] : dis=31  1609939413516ms
[B9S2] : dis=32  1609939413573ms
[B9S2] : dis=31  1609939414375ms
[B9S2] : dis=32  1609939414435ms
[B9S2] : dis=31  1609939415111ms
[B9S2] : dis=32  1609939415167ms
[B9S2] : dis=31  1609939415223ms
[B9S2] : dis=32  1609939415289ms
[B9S2] : dis=31  1609939415938ms
[B9S2] : dis=32  1609939415994ms
[B9S2] : dis=31  1609939416668ms
[B9S2] : dis=32  1609939416725ms
[B9S2] : dis=31  1609939418041ms
[B9S2] : dis=32  1609939418099ms
[B9S2] : dis=31  1609939418431ms
[B9S2] : dis=32  1609939418491ms
[B9S2] : dis=32  1609939421520ms
[B9S2] : dis=31  1609939423230ms
[B9S2] : dis=32  1609939423286ms
[B9S2] : dis=31  1609939424275ms
[B9S2] : dis=32  1609939424333ms
[B9S2] : dis=31  1609939425527ms
[B9S2] : dis=32  1609939425593ms
[B9S2] : dis=31  1609939425650ms
[B9S2] : dis=32  1609939425707ms
[B9S2] : dis=31  1609939426375ms
[B9S2] : dis=32  1609939426433ms
[B9S2] : dis=31  1609939427592ms
[B9S2] : dis=32  1609939427705ms
[B9S2] : dis=31  1609939427762ms
[B9S2] : dis=32  1609939427820ms
[B9S2] : dis=31  1609939428444ms
[B9S2] : dis=32  1609939428510ms
[B9S2] : dis=31  1609939430516ms
[B9S2] : dis=32  1609939430575ms
[B9S2] : dis=31  1609939432116ms
[B9S2] : dis=32  1609939432174ms
[B9S2] : dis=31  1609939432287ms
[B9S2] : dis=32  1609939432344ms
[B9S2] : dis=31  1609939434493ms
[B9S2] : dis=32  1609939434552ms
[B9S2] : dis=31  1609939435429ms
[B9S2] : dis=32  1609939435485ms
[B9S2] : dis=31  1609939437289ms
[B9S2] : dis=32  1609939437344ms
[B9S2] : dis=32  1609939440393ms
[B9S2] : dis=31  1609939440674ms
[B9S2] : dis=32  1609939440731ms
[B9S2] : dis=31  1609939442366ms
[B9S2] : dis=32  1609939442423ms
