[B5S2] : dis=25  2021-04-24 05:37:29.766  net_delay = 25ms  time_gap =3.021s  termId = 161
[B5S2] : dis=25  2021-04-24 05:37:32.799  net_delay = 26ms  time_gap =3.033s  termId = 162
[B5S2] : dis=25  2021-04-24 05:37:35.854  net_delay = 26ms  time_gap =3.055s  termId = 163
[B5S2] : dis=27  2021-04-24 05:37:37.855  net_delay = 25ms  time_gap =2.001s  termId = 164
[B5S2] : dis=25  2021-04-24 05:37:37.922  net_delay = 26ms  time_gap =0.067s  termId = 165
[B5S2] : dis=25  2021-04-24 05:37:40.958  net_delay = 27ms  time_gap =3.036s  termId = 166
[B5S2] : dis=25  2021-04-24 05:37:43.983  net_delay = 26ms  time_gap =3.025s  termId = 167
[B5S2] : dis=25  2021-04-24 05:37:47.014  net_delay = 26ms  time_gap =3.031s  termId = 168
[B5S2] : dis=25  2021-04-24 05:37:50.043  net_delay = 26ms  time_gap =3.029s  termId = 169
[B5S2] : dis=25  2021-04-24 05:37:53.077  net_delay = 31ms  time_gap =3.034s  termId = 170
[B5S2] : dis=25  2021-04-24 05:37:56.105  net_delay = 25ms  time_gap =3.028s  termId = 171
[B5S2] : dis=25  2021-04-24 05:37:59.166  net_delay = 29ms  time_gap =3.061s  termId = 172
[B5S2] : dis=25  2021-04-24 05:38:02.220  net_delay = 28ms  time_gap =3.054s  termId = 173
[B5S2] : dis=25  2021-04-24 05:38:05.276  net_delay = 27ms  time_gap =3.056s  termId = 174
[B5S2] : dis=25  2021-04-24 05:38:08.320  net_delay = 31ms  time_gap =3.044s  termId = 175
[B5S2] : dis=25  2021-04-24 05:38:11.341  net_delay = 27ms  time_gap =3.021s  termId = 176
[B5S2] : dis=24  2021-04-24 05:38:11.635  net_delay = 26ms  time_gap =0.294s  termId = 177
[B5S2] : dis=25  2021-04-24 05:38:14.246  net_delay = 29ms  time_gap =2.611s  termId = 178
[B5S2] : dis=24  2021-04-24 05:38:15.994  net_delay = 35ms  time_gap =1.748s  termId = 179
[B5S2] : dis=25  2021-04-24 05:38:16.061  net_delay = 28ms  time_gap =0.067s  termId = 180
[B5S2] : dis=26  2021-04-24 05:38:17.978  net_delay = 27ms  time_gap =1.917s  termId = 181
[B5S2] : dis=25  2021-04-24 05:38:18.040  net_delay = 27ms  time_gap =0.062s  termId = 182
[B5S2] : dis=25  2021-04-24 05:38:21.073  net_delay = 26ms  time_gap =3.033s  termId = 183
[B5S2] : dis=25  2021-04-24 05:38:24.116  net_delay = 33ms  time_gap =3.043s  termId = 184
[B5S2] : dis=25  2021-04-24 05:38:27.120  net_delay = 25ms  time_gap =3.004s  termId = 185
[B5S2] : dis=25  2021-04-24 05:38:30.165  net_delay = 35ms  time_gap =3.045s  termId = 186
[B5S2] : dis=25  2021-04-24 05:38:33.197  net_delay = 28ms  time_gap =3.032s  termId = 187
[B5S2] : dis=25  2021-04-24 05:38:36.241  net_delay = 29ms  time_gap =3.044s  termId = 188
[B5S2] : dis=26  2021-04-24 05:38:37.581  net_delay = 27ms  time_gap =1.340s  termId = 189
[B5S2] : dis=25  2021-04-24 05:38:37.643  net_delay = 26ms  time_gap =0.062s  termId = 190
[B5S2] : dis=25  2021-04-24 05:38:40.688  net_delay = 28ms  time_gap =3.045s  termId = 191
[B5S2] : dis=25  2021-04-24 05:38:43.733  net_delay = 23ms  time_gap =3.045s  termId = 192
[B5S2] : dis=25  2021-04-24 05:38:46.749  net_delay = 19ms  time_gap =3.016s  termId = 193
[B5S2] : dis=25  2021-04-24 05:38:49.788  net_delay = 27ms  time_gap =3.039s  termId = 194
[B5S2] : dis=23  2021-04-24 05:38:49.967  net_delay = 32ms  time_gap =0.179s  termId = 195
[B5S2] : dis=25  2021-04-24 05:38:50.028  net_delay = 26ms  time_gap =0.061s  termId = 196
[B5S2] : dis=25  2021-04-24 05:38:53.058  net_delay = 27ms  time_gap =3.030s  termId = 197
[B5S2] : dis=25  2021-04-24 05:38:56.099  net_delay = 28ms  time_gap =3.041s  termId = 198
[B5S2] : dis=25  2021-04-24 05:38:59.113  net_delay = 26ms  time_gap =3.014s  termId = 199
[B5S2] : dis=25  2021-04-24 05:39:02.156  net_delay = 30ms  time_gap =3.043s  termId = 200
[B5S2] : dis=25  2021-04-24 05:39:05.207  net_delay = 26ms  time_gap =3.051s  termId = 201
[B5S2] : dis=25  2021-04-24 05:39:08.273  net_delay = 26ms  time_gap =3.066s  termId = 202
[B5S2] : dis=26  2021-04-24 05:39:10.565  net_delay = 25ms  time_gap =2.292s  termId = 203
[B5S2] : dis=25  2021-04-24 05:39:10.626  net_delay = 26ms  time_gap =0.061s  termId = 204
[B5S2] : dis=25  2021-04-24 05:39:13.683  net_delay = 27ms  time_gap =3.057s  termId = 205
[B5S2] : dis=25  2021-04-24 05:39:16.736  net_delay = 26ms  time_gap =3.053s  termId = 206
[B5S2] : dis=25  2021-04-24 05:39:19.740  net_delay = 37ms  time_gap =3.004s  termId = 207
[B5S2] : dis=25  2021-04-24 05:39:22.798  net_delay = 27ms  time_gap =3.058s  termId = 208
[B5S2] : dis=25  2021-04-24 05:39:25.840  net_delay = 27ms  time_gap =3.042s  termId = 209
[B5S2] : dis=25  2021-04-24 05:39:28.842  net_delay = 26ms  time_gap =3.002s  termId = 210
[B5S2] : dis=25  2021-04-24 05:39:31.891  net_delay = 26ms  time_gap =3.049s  termId = 211
[B5S2] : dis=25  2021-04-24 05:39:34.940  net_delay = 23ms  time_gap =3.049s  termId = 212
[B5S2] : dis=25  2021-04-24 05:39:37.946  net_delay = 32ms  time_gap =3.006s  termId = 213
